pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job
1,2,46,1976,5,1,1,1,14.0,1,1,2,5,4,9,3,43.0,256,1994,3,0,0
2,1,49,1973,3,1,1,3,17.0,1,1,2,10,1,8,8,35.0,87,1999,3,0,0
3,2,31,1991,5,2,2,0,,1,1,1,17,3,11,8,41.0,637,2015,2,0,0
4,2,35,1987,4,1,1,2,11.0,1,1,1,13,6,5,3,44.0,331,2005,4,0,0
5,1,58,1964,3,1,1,1,2.0,1,1,1,6,5,10,1,51.0,585,1992,4,0,0
6,2,55,1967,5,1,1,3,14.0,1,1,1,12,7,3,8,41.0,643,2020,4,0,0
7,2,37,1985,5,1,1,3,11.0,1,1,1,17,6,12,8,35.0,276,2021,4,0,0
8,2,30,1992,6,1,1,1,15.0,1,1,5,5,3,2,2,39.0,251,2014,3,0,0
9,1,33,1989,5,1,1,3,11.0,1,1,1,4,6,10,2,44.0,803,2007,3,0,0
10,1,42,1980,6,2,2,0,,1,1,1,1,7,2,3,33.0,405,2004,2,0,0
11,1,43,1979,5,1,2,0,,1,1,2,15,5,11,8,34.0,339,2006,4,0,0
12,2,28,1994,5,1,1,2,2.0,1,1,1,15,6,12,8,41.0,234,2012,3,0,0
13,2,23,1999,2,2,2,0,,1,1,1,8,4,10,3,24.0,423,2017,4,0,0
14,2,40,1982,5,1,1,3,17.0,1,1,1,15,7,10,8,39.0,669,2002,4,0,0
15,1,52,1970,3,1,1,3,3.0,1,1,4,12,2,6,8,36.0,525,2020,4,0,0
16,1,27,1995,3,1,1,1,5.0,1,1,1,17,3,3,8,45.0,414,2013,4,0,0
17,2,37,1985,4,1,1,3,3.0,1,1,2,16,2,12,8,33.0,714,2015,1,0,0
18,1,27,1995,6,2,2,0,,1,1,2,17,1,7,8,36.0,689,2013,2,0,0
19,2,30,1992,5,1,2,0,,1,1,1,7,5,10,8,40.0,474,2016,4,0,0
20,2,45,1977,6,2,2,0,,1,1,2,11,1,9,1,34.0,923,2019,2,0,0
21,2,32,1990,7,1,1,2,17.0,1,1,1,3,2,9,8,32.0,385,2008,3,0,0
22,1,31,1991,6,1,1,3,6.0,1,1,1,16,6,5,3,35.0,591,2009,4,0,0
23,2,60,1962,3,1,1,2,1.0,1,1,1,6,2,6,8,23.0,369,2006,3,0,0
24,2,27,1995,6,1,1,2,8.0,1,1,5,8,7,6,3,32.0,583,2013,2,0,0
25,2,28,1994,6,2,2,0,,1,1,1,11,1,8,8,45.0,442,2012,4,0,0
26,1,58,1964,6,1,1,3,0.0,1,1,1,14,4,9,8,27.0,533,2011,2,0,0
27,1,43,1979,4,2,2,0,,1,1,4,13,1,3,3,31.0,904,2000,4,0,0
28,1,22,2000,3,2,2,0,,1,1,1,17,1,3,8,38.0,636,2018,4,0,0
29,1,37,1985,6,1,1,3,9.0,1,1,3,13,6,1,1,45.0,494,2015,2,0,0
30,2,43,1979,4,1,1,3,13.0,1,1,2,14,1,7,3,30.0,291,2021,4,0,0
31,2,31,1991,5,2,2,0,,1,1,1,10,7,9,8,34.0,463,2021,4,0,0
32,2,42,1980,5,2,2,0,,1,1,2,8,5,3,2,51.0,242,2015,4,0,0
33,1,46,1976,3,1,1,3,13.0,1,1,2,16,4,9,2,41.0,619,1997,4,0,0
34,1,31,1991,2,2,2,0,,1,1,1,7,7,1,8,45.0,610,2009,3,0,0
35,1,53,1969,7,1,1,1,19.0,1,1,5,11,3,11,8,31.0,376,2008,3,0,0
36,1,39,1983,6,1,1,2,18.0,1,1,4,5,3,9,8,35.0,705,2010,1,0,0
37,1,59,1963,6,1,2,0,,1,1,4,9,3,9,8,48.0,734,2014,4,0,0
38,1,24,1998,4,2,2,0,,1,1,2,7,5,9,8,43.0,501,2016,1,0,0
39,1,33,1989,4,1,2,0,,1,1,1,5,6,5,8,45.0,538,2021,4,0,0
40,2,49,1973,5,1,2,0,,1,1,1,14,4,12,3,45.0,283,2003,3,0,0
