pkey,gender,age,birth_year,education,has_spouse_raw,has_child_raw,num_children,youngest_child_age,emp_status,work_style,contract_type,industry,firm_size,occupation,position,weekly_hours,annual_income,current_job_start_year,intention,ev_quit,ev_started_job
1,2,47,1976,5,1,1,2,2.0,1,1,2,5,4,9,1,56.0,233,1994,3,0,0
2,1,50,1973,3,1,1,1,9.0,1,1,2,10,1,8,8,40.0,92,1999,4,0,0
3,2,32,1991,5,2,2,0,,1,1,1,17,3,11,8,35.0,647,2015,3,0,0
4,2,36,1987,4,1,1,1,10.0,1,1,1,13,6,5,8,23.0,343,2005,4,0,0
5,1,59,1964,3,1,1,2,8.0,1,1,1,6,5,10,3,43.0,597,1992,3,0,0
6,2,56,1967,5,1,1,1,4.0,1,1,1,12,7,3,8,48.0,591,2020,3,0,0
7,2,38,1985,5,1,1,3,0.0,1,1,1,17,6,12,8,37.0,273,2021,4,0,0
8,2,31,1992,6,1,1,2,1.0,1,1,5,5,3,2,8,39.0,276,2014,4,0,0
9,1,34,1989,5,1,1,1,3.0,1,1,1,4,6,10,8,26.0,845,2007,3,0,0
10,1,43,1980,6,2,2,0,,1,1,1,1,7,2,8,42.0,406,2004,2,0,0
11,1,44,1979,5,1,2,0,,1,1,2,15,5,11,8,31.0,361,2006,4,0,0
12,2,29,1994,5,1,1,2,0.0,1,1,1,15,6,12,8,45.0,252,2012,4,0,0
13,2,24,1999,2,2,2,0,,1,1,1,8,4,10,1,41.0,465,2017,3,0,0
14,2,41,1982,5,1,1,3,4.0,1,1,1,15,7,10,3,38.0,712,2002,4,0,0
15,1,53,1970,3,1,1,1,2.0,1,1,4,12,2,6,2,49.0,580,2020,3,0,0
16,1,28,1995,3,1,1,2,17.0,1,1,1,17,3,3,8,31.0,422,2013,4,0,0
17,2,38,1985,4,1,1,3,1.0,1,1,2,16,2,12,3,54.0,765,2015,3,0,0
18,1,28,1995,6,2,2,0,,1,1,2,17,1,7,3,44.0,659,2013,3,0,0
19,2,31,1992,5,1,2,0,,1,1,1,7,5,10,8,40.0,503,2016,3,0,0
20,2,46,1977,6,2,2,0,,1,1,2,11,1,9,8,36.0,1050,2023,4,1,1
21,2,33,1990,7,1,1,1,13.0,1,1,1,3,2,9,8,47.0,405,2008,1,0,0
22,1,32,1991,6,1,1,2,9.0,1,1,1,16,6,5,8,36.0,645,2009,4,0,0
23,2,61,1962,3,1,1,2,4.0,1,1,1,6,2,6,8,50.0,355,2006,3,0,0
24,2,28,1995,6,1,1,1,2.0,1,1,5,8,7,6,8,51.0,643,2013,4,0,0
25,2,29,1994,6,2,2,0,,1,1,1,11,1,8,3,33.0,467,2012,4,0,0
